BROAD BASED-INDICES,SECTOR-INDICES,NIFTY 50-STOCKS,NIFTY 100-STOCKS,NIFTY 200-STOCKS,F&O-STOCKS
,,,,,THERMAX
,,,,,TITAN
,,,,,TORNTPHARM
,,,,,TORNTPOWER
,,,,,TRENT
,,,,,TRIVENI
,,,,,TTKPRESTIG
,,,,,TTML
,,,,,TULIP
,,,,,TV-18
,,,,,TV18BRDCST
,,,,,TVSMOTOR
,,,,,UBL
,,,,,UCOBANK
,,,,,UJJIVAN
,,,,,ULTRACEMCO
,,,,,UNIONBANK
,,,,,UNIPHOS
,,,,,UNITECH
,,,,,UPL
,,,,,UTIBANK
,,,,,UTVSOF
,,,,,VEDL
,,,,,VGUARD
,,,,,VIDEOIND
,,,,,VIJAYABANK
,,,,,VIPIND
,,,,,VOLTAMP
,,,,,VOLTAS
,,,,,VSNL
,,,,,WALCHANNAG
,,,,,WELCORP
,,,,,WELGUJ
,,,,,WHIRLPOOL
,,,,,WIPRO
,,,,,WOCKPHARMA
,,,,,WWIL
,,,,,YESBANK
,,,,,ZEEL
,,,,,ZEETELE
,,,,,ZYDUSLIFE
