Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,CalenderMonthDay,CalenderYearDay,TradingMonthDay,TradingYearDay,EvenCalenderMonthDay,EvenCalenderYearDay,EvenTradingMonthDay,EvenTradingYearDay,ReturnPoints,ReturnPercentage,PositiveDay,MondayWeeklyDate,MondayWeekNumberMonthly,MondayWeekNumberYearly,EvenMondayWeekNumberMonthly,EvenMondayWeekNumberYearly,MondayWeeklyReturnPoints,MondayWeeklyReturnPercentage,PositiveMondayWeek,ExpiryWeeklyDate,ExpiryWeekNumberMonthly,ExpiryWeekNumberYearly,EvenExpiryWeekNumberMonthly,EvenExpiryWeekNumberYearly,ExpiryWeeklyReturnPoints,ExpiryWeeklyReturnPercentage,PositiveExpiryWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2020-04-27,SBICARD,563.7,575.0,542.85,552.7,3306453,1827476608,Monday,27,118,15,,False,True,False,False,-5.149999999999977,-0.92,False,2020-04-27,4,,True,,41.299999999999955,7.4,True,2020-04-30,5,,False,,38.19999999999993,6.81,True,True,-19.5,-3.15,False,True,,,False
2020-04-28,SBICARD,556.0,562.45,547.45,550.9,1975826,1088482560,Tuesday,28,119,16,,True,False,True,False,-1.8000000000000682,-0.33,False,2020-04-27,4,,True,,41.299999999999955,7.4,True,2020-04-30,5,,False,,38.19999999999993,6.81,True,True,-19.5,-3.15,False,True,,,False
2020-04-29,SBICARD,555.4,584.0,548.4,577.5,6121364,3535087616,Wednesday,29,120,17,,False,True,False,False,26.600000000000023,4.83,True,2020-04-27,4,,True,,41.299999999999955,7.4,True,2020-04-30,5,,False,,38.19999999999993,6.81,True,True,-19.5,-3.15,False,True,,,False
2020-04-30,SBICARD,591.0,604.9,585.0,599.15,6038342,3617872640,Thursday,30,121,18,,True,False,True,False,21.649999999999977,3.75,True,2020-04-27,4,,True,,41.299999999999955,7.4,True,2020-04-30,5,,False,,38.19999999999993,6.81,True,True,-19.5,-3.15,False,True,,,False
2020-05-04,SBICARD,566.2,578.0,566.2,568.45,2066389,1174638848,Monday,4,125,1,,True,False,False,False,-30.699999999999932,-5.12,False,2020-05-04,1,,False,,-37.19999999999993,-6.21,False,2020-05-07,1,,False,,-24.699999999999932,-4.12,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-05,SBICARD,577.75,584.3,550.6,553.0,2247828,1243048832,Tuesday,5,126,2,,False,True,True,False,-15.450000000000045,-2.72,False,2020-05-04,1,,False,,-37.19999999999993,-6.21,False,2020-05-07,1,,False,,-24.699999999999932,-4.12,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-06,SBICARD,557.0,569.0,542.0,565.65,2356415,1332906240,Wednesday,6,127,3,,True,False,False,False,12.649999999999977,2.29,True,2020-05-04,1,,False,,-37.19999999999993,-6.21,False,2020-05-07,1,,False,,-24.699999999999932,-4.12,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-07,SBICARD,563.0,579.0,558.9,574.45,2201886,1264873472,Thursday,7,128,4,,False,True,True,False,8.800000000000068,1.56,True,2020-05-04,1,,False,,-37.19999999999993,-6.21,False,2020-05-07,1,,False,,-24.699999999999932,-4.12,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-08,SBICARD,585.0,586.0,548.6,561.95,5125026,2880008448,Friday,8,129,5,,True,False,False,False,-12.5,-2.18,False,2020-05-04,1,,False,,-37.19999999999993,-6.21,False,2020-05-14,2,,True,,-35.80000000000007,-6.23,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-11,SBICARD,552.0,561.0,543.0,548.5,2746769,1506602752,Monday,11,132,6,,False,True,True,False,-13.450000000000045,-2.39,False,2020-05-11,2,,True,,-22.5,-4.0,False,2020-05-14,2,,True,,-35.80000000000007,-6.23,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-12,SBICARD,542.0,548.35,530.2,543.1,2115701,1149037184,Tuesday,12,133,7,,True,False,False,False,-5.399999999999977,-0.98,False,2020-05-11,2,,True,,-22.5,-4.0,False,2020-05-14,2,,True,,-35.80000000000007,-6.23,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-13,SBICARD,570.0,570.55,545.25,548.3,2376132,1302833152,Wednesday,13,134,8,,False,True,True,False,5.199999999999932,0.96,True,2020-05-11,2,,True,,-22.5,-4.0,False,2020-05-14,2,,True,,-35.80000000000007,-6.23,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-14,SBICARD,543.0,545.75,537.1,538.65,1456710,784656896,Thursday,14,135,9,,True,False,False,False,-9.649999999999977,-1.76,False,2020-05-11,2,,True,,-22.5,-4.0,False,2020-05-14,2,,True,,-35.80000000000007,-6.23,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-15,SBICARD,542.0,544.0,535.25,539.45,1044907,563675072,Friday,15,136,10,,False,True,True,False,0.8000000000000682,0.15,True,2020-05-11,2,,True,,-22.5,-4.0,False,2020-05-21,3,,False,,3.7000000000000455,0.69,True,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-18,SBICARD,540.0,540.0,526.0,528.9,1212873,641488576,Monday,18,139,11,,True,False,False,False,-10.550000000000068,-1.96,False,2020-05-18,3,,False,,-29.900000000000034,-5.54,False,2020-05-21,3,,False,,3.7000000000000455,0.69,True,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-19,SBICARD,535.0,540.0,529.15,537.65,1329780,714956224,Tuesday,19,140,12,,False,True,True,False,8.75,1.65,True,2020-05-18,3,,False,,-29.900000000000034,-5.54,False,2020-05-21,3,,False,,3.7000000000000455,0.69,True,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-20,SBICARD,537.0,548.0,534.6,536.75,1142416,613191808,Wednesday,20,141,13,,True,False,False,False,-0.8999999999999773,-0.17,False,2020-05-18,3,,False,,-29.900000000000034,-5.54,False,2020-05-21,3,,False,,3.7000000000000455,0.69,True,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-21,SBICARD,539.4,546.8,536.15,542.35,1181475,640772928,Thursday,21,142,14,,False,True,True,False,5.600000000000023,1.04,True,2020-05-18,3,,False,,-29.900000000000034,-5.54,False,2020-05-21,3,,False,,3.7000000000000455,0.69,True,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-22,SBICARD,541.4,546.3,495.0,509.55,5257015,2678711808,Friday,22,143,15,,True,False,False,False,-32.80000000000001,-6.05,False,2020-05-18,3,,False,,-29.900000000000034,-5.54,False,2020-05-28,4,,True,,-10.050000000000068,-1.85,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-26,SBICARD,515.0,518.0,496.5,498.75,4518856,2253779456,Tuesday,26,147,16,,True,False,True,False,-10.800000000000011,-2.12,False,2020-05-25,4,,True,,29.30000000000001,5.75,True,2020-05-28,4,,True,,-10.050000000000068,-1.85,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-27,SBICARD,501.6,521.1,496.0,517.45,3008686,1556844544,Wednesday,27,148,17,,False,True,False,False,18.700000000000045,3.75,True,2020-05-25,4,,True,,29.30000000000001,5.75,True,2020-05-28,4,,True,,-10.050000000000068,-1.85,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-28,SBICARD,520.0,537.75,518.15,532.3,2381145,1267483392,Thursday,28,149,18,,True,False,True,False,14.849999999999909,2.87,True,2020-05-25,4,,True,,29.30000000000001,5.75,True,2020-05-28,4,,True,,-10.050000000000068,-1.85,False,False,-60.299999999999955,-10.06,False,True,,,False
2020-05-29,SBICARD,528.0,541.65,524.2,538.85,1540581,830142016,Friday,29,150,19,,False,True,False,False,6.550000000000068,1.23,True,2020-05-25,4,,True,,29.30000000000001,5.75,True,2020-06-04,1,,False,,80.10000000000002,15.05,True,False,-60.299999999999955,-10.06,False,True,,,False
2020-06-01,SBICARD,544.0,557.4,544.0,547.8,1939049,1062211008,Monday,1,153,1,,False,False,False,False,8.949999999999932,1.66,True,2020-06-01,1,,False,,87.14999999999998,16.17,True,2020-06-04,1,,False,,80.10000000000002,15.05,True,True,91.39999999999998,16.96,True,True,,,False
2020-06-02,SBICARD,554.5,573.0,552.75,570.05,2741138,1562585728,Tuesday,2,154,2,,True,True,True,False,22.25,4.06,True,2020-06-01,1,,False,,87.14999999999998,16.17,True,2020-06-04,1,,False,,80.10000000000002,15.05,True,True,91.39999999999998,16.96,True,True,,,False
2020-06-03,SBICARD,578.0,626.0,577.0,611.3,9393658,5742343168,Wednesday,3,155,3,,False,False,False,False,41.25,7.24,True,2020-06-01,1,,False,,87.14999999999998,16.17,True,2020-06-04,1,,False,,80.10000000000002,15.05,True,True,91.39999999999998,16.96,True,True,,,False
2020-06-04,SBICARD,615.0,634.7,607.0,612.4,4581403,2805651200,Thursday,4,156,4,,True,True,True,False,1.1000000000000227,0.18,True,2020-06-01,1,,False,,87.14999999999998,16.17,True,2020-06-04,1,,False,,80.10000000000002,15.05,True,True,91.39999999999998,16.96,True,True,,,False
2020-06-05,SBICARD,618.0,632.0,615.05,626.0,2895766,1812749568,Friday,5,157,5,,False,False,False,False,13.600000000000023,2.22,True,2020-06-01,1,,False,,87.14999999999998,16.17,True,2020-06-11,2,,True,,-21.350000000000023,-3.49,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-08,SBICARD,634.9,639.5,611.2,614.85,2619272,1610459264,Monday,8,160,6,,True,True,True,False,-11.149999999999977,-1.78,False,2020-06-08,2,,True,,-35.549999999999955,-5.68,False,2020-06-11,2,,True,,-21.350000000000023,-3.49,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-09,SBICARD,618.0,626.75,607.2,611.65,2338124,1430113664,Tuesday,9,161,7,,False,False,False,False,-3.2000000000000455,-0.52,False,2020-06-08,2,,True,,-35.549999999999955,-5.68,False,2020-06-11,2,,True,,-21.350000000000023,-3.49,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-10,SBICARD,612.0,618.0,593.55,598.4,2051495,1227614720,Wednesday,10,162,8,,True,True,True,False,-13.25,-2.17,False,2020-06-08,2,,True,,-35.549999999999955,-5.68,False,2020-06-11,2,,True,,-21.350000000000023,-3.49,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-11,SBICARD,595.45,608.7,590.0,591.05,1354038,800304128,Thursday,11,163,9,,False,False,False,False,-7.350000000000023,-1.23,False,2020-06-08,2,,True,,-35.549999999999955,-5.68,False,2020-06-11,2,,True,,-21.350000000000023,-3.49,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-12,SBICARD,552.5,594.5,552.5,590.45,2363476,1395514496,Friday,12,164,10,,True,True,True,False,-0.599999999999909,-0.1,False,2020-06-08,2,,True,,-35.549999999999955,-5.68,False,2020-06-18,3,,False,,-3.1499999999999773,-0.53,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-15,SBICARD,585.0,599.0,583.35,592.55,1081686,640953024,Monday,15,167,11,,False,False,False,False,2.099999999999909,0.36,True,2020-06-15,3,,False,,26.5,4.49,True,2020-06-18,3,,False,,-3.1499999999999773,-0.53,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-16,SBICARD,602.45,609.5,577.0,585.75,1533833,898442688,Tuesday,16,168,12,,True,True,True,False,-6.7999999999999545,-1.15,False,2020-06-15,3,,False,,26.5,4.49,True,2020-06-18,3,,False,,-3.1499999999999773,-0.53,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-17,SBICARD,580.0,584.9,575.05,579.5,1143202,662485568,Wednesday,17,169,13,,False,False,False,False,-6.25,-1.07,False,2020-06-15,3,,False,,26.5,4.49,True,2020-06-18,3,,False,,-3.1499999999999773,-0.53,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-18,SBICARD,578.0,590.45,577.2,587.9,1241355,729792640,Thursday,18,170,14,,True,True,True,False,8.399999999999977,1.45,True,2020-06-15,3,,False,,26.5,4.49,True,2020-06-18,3,,False,,-3.1499999999999773,-0.53,False,True,91.39999999999998,16.96,True,True,,,False
2020-06-19,SBICARD,592.7,622.7,587.1,616.95,4045615,2495942144,Friday,19,171,15,,False,False,False,False,29.050000000000068,4.94,True,2020-06-15,3,,False,,26.5,4.49,True,2020-06-25,4,,True,,66.20000000000005,11.26,True,True,91.39999999999998,16.96,True,True,,,False
2020-06-22,SBICARD,622.75,668.75,620.4,657.9,6536478,4300348928,Monday,22,174,16,,True,True,True,False,40.94999999999993,6.64,True,2020-06-22,4,,True,,35.19999999999993,5.71,True,2020-06-25,4,,True,,66.20000000000005,11.26,True,True,91.39999999999998,16.96,True,True,,,False
